"default","bmaxrate","amount","close","bankcardutil","rating"
0,0.29,6000,0,0.94,"Missing"
1,0.29,5001,1,0.3,"D"
0,0.09,1000,0,0.02,"AA"
0,0.2,10000,0,0.85,"D"
0,0.18,2500,0,0.84,"A"
0,0.21,3000,0,0.04,"C"
0,0.12,13000,0,0.36,"AA"
0,0.29,6000,1,0,"Missing"
0,0.29,2000,1,0,"Missing"
0,0.29,1500,0,0.84,"Missing"
0,0.25,9000,0,0.43,"D"
0,0.21,7500,1,1.02,"C"
0,0.29,4500,0,0.98,"Missing"
0,0.14,3500,0,0.65,"B"
0,0.21,6001,1,0,"D"
0,0.17,6500,0,0.81,"C"
0,0.19,10000,1,0.81,"C"
0,0.18,3100,0,0.86,"D"
0,0.25,9000,0,0.99,"Missing"
0,0.15,5100,0,0.19,"C"
0,0.25,2500,0,0.66,"D"
1,0.2,2000,0,1.44,"Missing"
1,0.2,6500,1,0.9,"C"
0,0.25,6000,1,1,"Missing"
1,0.29,5108,0,0,"Missing"
0,0.07,1850,1,0.31,"AA"
0,0.17,10000,0,0.85,"C"
0,0.22,4000,1,1,"D"
0,0.1,3000,1,0.32,"A"
1,0.17,10000,0,0.84,"C"
0,0.14,1000,0,0.6,"A"
1,0.29,2500,0,0,"Missing"
0,0.17,4000,1,0.31,"D"
0,0.2,2000,0,0.01,"D"
0,0.16,7000,0,0.29,"C"
0,0.2,9000,0,0.94,"D"
0,0.25,2750,1,0,"Missing"
0,0.21,15000,0,0.82,"C"
0,0.11,2400,0,0.25,"B"
0,0.15,4000,0,0.46,"B"
0,0.23,5000,0,0.97,"Missing"
0,0.14,24000,0,0.54,"A"
0,0.17,13000,1,0.88,"B"
0,0.23,4000,1,1.35,"Missing"
0,0.29,3300,0,0.91,"Missing"
0,0.15,3000,0,0,"C"
0,0.13,20000,0,0.13,"AA"
0,0.15,2000,0,0,"C"
0,0.29,5000,0,0.83,"Missing"
0,0.25,2550,0,0.86,"D"
0,0.19,6001,1,0.24,"D"
0,0.26,2550,0,0.88,"Missing"
0,0.18,1000,1,0,"C"
0,0.16,5000,0,0.94,"C"
0,0.2,8000,1,0.52,"D"
0,0.17,1500,0,0.61,"D"
1,0.15,3000,0,0.73,"D"
0,0.19,21200,1,0.47,"B"
0,0.18,5600,0,0.48,"B"
0,0.23,1525,0,0.56,"D"
0,0.2,1500,0,0.88,"Missing"
0,0.23,25000,0,0,"B"
0,0.08,5000,0,0.13,"AA"
0,0.2,2000,1,0.98,"C"
0,0.14,7750,0,0.59,"C"
0,0.12,2500,0,0,"C"
0,0.29,2000,0,0,"Missing"
0,0.2,7500,1,0.62,"C"
0,0.24,15000,1,0.81,"D"
0,0.2,9000,0,0.88,"D"
0,0.07,1000,0,0.34,"AA"
0,0.2,9999,0,0.9,"D"
0,0.29,2550,0,1,"Missing"
0,0.26,4000,0,0.99,"Missing"
0,0.08,1668,0,0.05,"AA"
0,0.16,25000,0,0,"AA"
0,0.19,3001,0,0.48,"D"
1,0.17,9000,0,0.99,"C"
0,0.29,17000,1,0,"D"
0,0.27,3200,1,0,"Missing"
0,0.19,12500,0,0.88,"C"
1,0.29,1000,1,0.42,"Missing"
0,0.25,6000,0,1.02,"D"
0,0.15,2300,0,0.46,"C"
0,0.29,2800,0,0.99,"C"
0,0.2,2400,1,0,"D"
0,0.29,2500,0,0.89,"Missing"
0,0.15,8575,0,0.9,"B"
0,0.27,7500,0,0.91,"Missing"
0,0.29,2000,0,1.23,"Missing"
0,0.09,5000,0,0.17,"AA"
1,0.25,15000,0,0.11,"D"
0,0.15,5000,0,0.67,"C"
0,0.29,1800,0,0.85,"Missing"
0,0.2,4600,0,0.91,"Missing"
0,0.29,15000,0,0,"AA"
0,0.1,1000,0,0.28,"A"
0,0.17,15000,0,0.96,"B"
1,0.29,2000,0,0,"Missing"
0,0.25,25000,0,0.57,"D"
0,0.15,3000,1,0.99,"C"
0,0.15,2000,0,0.54,"C"
0,0.15,6000,0,0.39,"B"
0,0.2,12000,0,0.26,"C"
0,0.1,4000,0,0.51,"AA"
0,0.11,11000,1,0.43,"AA"
0,0.22,10000,0,0.93,"D"
0,0.28,5000,0,0.95,"Missing"
1,0.29,4500,0,0.97,"D"
0,0.25,10500,0,0.81,"D"
0,0.09,5000,0,0.28,"AA"
0,0.24,7100,0,0.9,"D"
0,0.29,4000,1,0,"Missing"
0,0.1,5000,0,0.52,"AA"
1,0.28,3500,0,0,"Missing"
0,0.2,19000,0,0.95,"C"
0,0.2,2600,0,0,"Missing"
0,0.29,2610,0,1.39,"Missing"
0,0.29,25000,0,0.95,"C"
0,0.29,3000,0,0.82,"Missing"
0,0.29,2500,1,1.04,"Missing"
0,0.27,25000,1,0,"C"
0,0.29,25000,0,0.82,"B"
0,0.29,2000,0,0,"Missing"
0,0.25,3500,0,0.97,"Missing"
0,0.29,2550,0,0.91,"Missing"
0,0.05,1000,0,0.64,"D"
0,0.27,1000,1,0.88,"Missing"
0,0.13,10800,1,0.68,"A"
0,0.2,3000,0,0.89,"D"
0,0.29,3001,0,0,"Missing"
0,0.24,5500,0,0,"D"
0,0.16,17000,0,0,"A"
0,0.29,5000,1,0.96,"Missing"
0,0.29,2550,1,0.91,"Missing"
0,0.29,3000,0,0.85,"D"
0,0.28,6000,0,0.68,"D"
0,0.29,5500,1,0.72,"C"
0,0.18,3100,0,0.98,"C"
1,0.29,3001,0,0,"Missing"
0,0.18,15000,0,0.51,"B"
0,0.29,3600,1,0.69,"D"
0,0.24,3500,0,1,"Missing"
0,0.13,5000,1,0.16,"A"
1,0.15,1500,1,0.2,"C"
0,0.2,7400,1,0.27,"D"
0,0.28,1250,0,0,"Missing"
0,0.27,14000,1,0.65,"D"
0,0.28,5000,0,0.56,"Missing"
0,0.11,2700,1,0.12,"AA"
0,0.11,4999,0,0.28,"A"
1,0.15,3000,0,0,"C"
0,0.2,7500,0,0.36,"C"
0,0.15,25000,0,0.16,"AA"
0,0.27,3200,0,0.98,"Missing"
0,0.15,14500,1,0,"A"
0,0.18,15000,0,0.65,"B"
0,0.2,1300,0,0,"Missing"
0,0.29,1500,0,0.95,"Missing"
0,0.2,6500,0,0.9,"D"
0,0.21,6000,0,0.89,"C"
1,0.24,3500,0,0.83,"Missing"
0,0.29,2000,0,0.4,"Missing"
0,0.12,2000,0,0.01,"AA"
0,0.14,2400,0,0.94,"B"
0,0.29,5000,0,1.01,"Missing"
0,0.15,1000,1,0.46,"D"
0,0.12,10000,0,0.5,"B"
0,0.22,13000,0,0.82,"D"
0,0.15,15000,0,0.01,"AA"
1,0.25,16000,1,0.67,"D"
0,0.24,1000,0,0.81,"Missing"
0,0.15,5000,0,0.27,"B"
0,0.2,12000,0,0.66,"C"
1,0.22,5000,0,0.47,"D"
0,0.2,3000,0,0,"D"
0,0.29,1500,1,0.91,"Missing"
0,0.15,5000,0,0.33,"B"
0,0.23,8000,0,0.75,"C"
1,0.29,5000,0,0.89,"Missing"
0,0.12,20000,0,0,"AA"
0,0.14,4000,0,0.18,"B"
1,0.25,1250,0,0.99,"Missing"
0,0.19,1500,0,0.86,"D"
0,0.12,4000,0,0.28,"AA"
0,0.16,6000,0,0.16,"A"
0,0.24,15000,0,0.86,"B"
0,0.2,20000,1,1,"C"
0,0.2,5000,0,0.72,"Missing"
0,0.17,2800,0,0,"C"
0,0.2,5000,0,0.97,"C"
0,0.18,5500,0,1.02,"C"
0,0.29,10000,0,0.93,"D"
0,0.14,9250,0,0.92,"B"
0,0.07,3000,1,0.01,"AA"
1,0.29,2501,1,0,"Missing"
0,0.12,15000,0,0,"AA"
0,0.17,25000,0,0.54,"A"
0,0.17,2000,0,0.74,"B"
0,0.26,3000,1,0,"Missing"
0,0.29,2501,0,1.22,"Missing"
0,0.11,6001,0,0.01,"A"
0,0.11,3500,0,0,"D"
0,0.2,9000,0,0.72,"D"
0,0.16,4500,0,0.88,"D"
0,0.18,13000,0,0.52,"B"
0,0.1,2000,0,0,"A"
0,0.15,3500,0,0.56,"C"
0,0.29,3000,0,0,"Missing"
1,0.29,2550,0,0.95,"Missing"
0,0.18,14500,1,0.66,"B"
0,0.14,17500,0,0.79,"B"
0,0.17,6001,0,0.56,"B"
0,0.22,20000,1,0.77,"B"
0,0.29,6000,0,0,"Missing"
0,0.11,1000,0,0.03,"AA"
0,0.28,10000,0,0.24,"C"
0,0.11,5000,1,0.45,"B"
1,0.29,1500,1,1.29,"Missing"
1,0.29,5000,0,0.88,"Missing"
0,0.23,3100,0,0.78,"Missing"
0,0.29,10000,0,0.49,"D"
0,0.16,3300,0,0.3,"C"
0,0.27,1700,0,0.95,"Missing"
0,0.29,2500,0,0,"Missing"
0,0.17,6750,1,0.73,"C"
0,0.26,6500,0,0.53,"Missing"
0,0.2,5000,0,0.81,"C"
0,0.29,3000,0,1.02,"Missing"
0,0.2,9500,0,0.72,"D"
0,0.29,5824,0,0,"Missing"
0,0.15,15000,0,0.04,"AA"
0,0.29,6000,0,1.02,"Missing"
0,0.1,3600,1,0.28,"A"
0,0.22,10000,0,0.8,"D"
0,0.25,15000,0,0,"C"
0,0.16,23000,1,0.13,"A"
0,0.08,3001,0,0.14,"AA"
0,0.28,4000,0,0.53,"Missing"
0,0.08,2000,0,0.06,"AA"
0,0.2,1750,0,0.96,"Missing"
0,0.13,1200,0,0.72,"D"
0,0.17,1000,0,0.72,"C"
0,0.21,5000,0,0.26,"D"
0,0.18,15000,0,0.26,"B"
0,0.16,5200,0,0.86,"C"
0,0.07,1100,1,0.18,"A"
0,0.19,4400,0,0.98,"D"
